district,mean_spei,date
Ararat,-0.2275844087654894,2001-05-11
Aragatsotn,0.22382764549305043,2001-05-11
Armavir,0.10213534409801166,2001-05-11
Kotayk,0.10517725981771946,2001-05-11
Erevan,-0.11482154577970505,2001-05-11
Tavush,0.8349470992883047,2001-05-21
Lori,0.5407412831599896,2001-05-21
Shirak,0.2938184033219631,2001-05-21
Gegharkunik,0.06164815682260429,2001-05-21
Vayots Dzor,-0.5511595048010349,2001-05-21
Syunik,-0.5681934431195259,2001-05-21
Ararat,-0.3997182935814966,2001-05-21
Aragatsotn,-0.030050549035271008,2001-05-21
Armavir,-0.13438852628072104,2001-05-21
Kotayk,-0.08542501106858254,2001-05-21
Erevan,-0.3410504683852196,2001-05-21
Tavush,0.39734949978689355,2001-06-01
Lori,-0.1764875644674668,2001-06-01
Shirak,-0.3013242637881866,2001-06-01
Gegharkunik,-0.40004410857663436,2001-06-01
Vayots Dzor,-0.9705795869231224,2001-06-01
Syunik,-1.0584737489882268,2001-06-01
Ararat,-0.8615545657548037,2001-06-01
Aragatsotn,-0.49855627367893857,2001-06-01
Armavir,-0.4789392401774724,2001-06-01
Kotayk,-0.5842121928930283,2001-06-01
Erevan,-0.5931388586759567,2001-06-01
Tavush,0.6513367747732749,2001-06-11
Lori,-0.08082318284477179,2001-06-11
Shirak,-0.23306668950961187,2001-06-11
Gegharkunik,-0.10236623888725743,2001-06-11
Vayots Dzor,-0.7517197579145432,2001-06-11
Syunik,-0.7072354168876221,2001-06-11
Ararat,-0.7878283533183011,2001-06-11
Aragatsotn,-0.35904143564403057,2001-06-11
Armavir,-0.41564516226450604,2001-06-11
Kotayk,-0.2867514924146235,2001-06-11
Erevan,-0.42324893176555634,2001-06-11
Tavush,0.09866392302016418,2001-06-21
Lori,-0.9480908123346475,2001-06-21
Shirak,-1.0120496864502246,2001-06-21
Gegharkunik,-0.956015342298676,2001-06-21
Vayots Dzor,-1.4761377573013306,2001-06-21
Syunik,-1.2867976364336515,2001-06-21
Ararat,-1.4170237617059187,2001-06-21
Aragatsotn,-1.0141002436478932,2001-06-21
Armavir,-0.8230417867501577,2001-06-21
Kotayk,-1.1416213035583496,2001-06-21
Erevan,-0.9646003544330597,2001-06-21
Tavush,-0.46409240380550426,2001-07-01
Lori,-1.2996018322614522,2001-07-01
Shirak,-1.244062820306191,2001-07-01
Gegharkunik,-1.0812477574628943,2001-07-01
Vayots Dzor,-1.525897577404976,2001-07-01
Syunik,-1.307199195811623,2001-07-01
Ararat,-1.4892622882669622,2001-07-01
Aragatsotn,-1.2794473965962727,2001-07-01
Armavir,-1.1574965715408325,2001-07-01
Kotayk,-1.3626108407974242,2001-07-01
Erevan,-1.3719825744628906,2001-07-01
Tavush,-0.26536935816208523,2001-07-11
Lori,-1.071129629245171,2001-07-11
Shirak,-1.099766309444721,2001-07-11
Gegharkunik,-0.49924632227596116,2001-07-11
Vayots Dzor,-1.0152556523680687,2001-07-11
Syunik,-1.1770586465534412,2001-07-11
Ararat,-0.9855723028833215,2001-07-11
Aragatsotn,-0.9132617115974426,2001-07-11
Armavir,-0.8733620643615723,2001-07-11
